PROJECT NAME,AGENCY,project ZIP,project CD,STATUS,artist ZIP,"project
START date",FULL 1% amount,"ART
contract $",art contract START,COMMUNITY MEETING date(s), END DATE
US-101 LA / Main Sts. Overcrossing Pedestrian Linkage | Ned Kahn,BIP,90012,14,completed,95472,12/6/2007,182925,149999,12/6/2007,03/21/2008; 04/24/2008,12/5/2010
US-101 LA / Main Sts. Overcrossing Pedestrian Linkage | Infranatural,BIP,90012,14,completed,90026,12/6/2007,303047,298499,12/6/2007,03/21/2008; 04/24/2008,2/5/2015
Playa Vista Branch Library [#2],Library,90094,11,completed,90045,12/5/2008,35000,35000,12/5/2008,4/18/2009,12/4/2009
Watts Fire Station No. 65,Fire,90002,15,completed,90046,12/5/2002,66831,53200,12/5/2002,1/13/2004,unknown
Arleta Fire Station No. 81,Fire,91402,6,completed,85702,12/3/2002,66831,58700,12/3/2002,n/a,12/11/2006
Echo Park Childcare Center,Rec+Parks,90026,1,completed,90230,12/16/1999,7600,7600,12/28/1999,8/22/2000,4/14/2003
Bradley West International Terminal Expansion,LAWA,90045,11,completed,90008,12/2/2011,1219512,1000000,12/2/2011,,unknown
Bradley West International Terminal Expansion,LAWA,90045,11,completed,90031,12/2/2011,1283902,1052800,12/2/2011,,unknown
Bradley West International Terminal Expansion,LAWA,90045,11,completed,90068,12/2/2011,1219512,1000000,12/2/2011,,unknown
Will & Ariel Durant Branch Library,Library,90046,4,completed,90291,12/19/2000,20000,20000,12/19/2000,1/17/01; 04/16/01,6/2/2004
Pico Union Branch Library,Library,90006,1,completed,91941,12/18/2001,20000,20000,12/18/2001,4/9/2002,6/17/2004
Valley Plaza Branch Library,Library,91605,2,completed,91324,12/15/2000,20000,20000,12/15/2000,3/12/2001,10/27/2004
Air Operations Facility,Fire,91406,6,completed,91205,9/20/2011,232096,190819,12/1/2011,2/12/2013,6/1/2015
Van Nuys/Sherman Oaks Swimming Pool,Rec+Parks,91423,4,completed,90039,12/1/1997,20000,17000,12/1/1997,5/27/1998,9/25/2002
Newton Police Station,Police,90011,9,completed,92866,9/16/1991,182000,182000,12/1/1994,,3/1/1997
North Hollywood Police Station,Police,91601,2,completed,90731,4/1/1992,182000,152000,12/1/1994,,3/1/1997
Sunland-Tujunga Branch Library,Library,91042,7,completed,90064,12/1/1994,27500,27500,12/1/1994,,8/1/1995
Winnick Family Children's Zoo,Zoo,90027,4,completed,87305,11/9/2000,252000,252000,11/9/2000,Dec-00,9/12/2001
Mission Hills Police Station [#2],Police,91345,7,completed,90026,11/7/2003,50000,50000,11/7/2003,"10/26/4, 02/14/05, 02/07/06",8/17/2007
Barrio Action Youth and Family Center,BOE,90032,14,completed,90031,11/6/2006,45000,36900,11/6/2006,"2/01/07, 2/07/07",2/26/2008
